1_Mục_đích_sd_srm,4_Sd_khi_nào,5_Mua_ở_đâu,6_Quảng_cáo_ở_đâu,91_Thích_hương_trái_cây?,92_Thích_hương_rau_củ?,93_Thích_hương_hoa_cỏ?,15_Xuất_xứ,16_Mua_online_ở_đâu,17_Mua_offline_ở_đâu,20_Lo_ngại_về_srm
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Trước khi đi ngủ,"Các sàn thương mại điện tử, Nhà thuốc","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",Khác,Thảo mộc,"Lavender, Hoa hồng, Anh đào","Mỹ, Nhật Bản, Hàn Quốc","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Siêu thị","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Hỗ trợ làm trắng da, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm",Trước khi đi ngủ,"Các sàn thương mại điện tử, Cửa hàng của hãng, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè","Táo, Cherry, Đào","Thảo mộc, Rau má, Cần tây","Hoa hồng, Trà xanh, Hoa sứ",Pháp,Sàn thương mại điện tử,Cửa hàng chính hãng,"Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ",Các cửa hàng mỹ phẩm,"Tự tìm hiểu, Bạn bè",Cherry,Dưa leo,Lavender,"Hàn Quốc, Việt Nam",Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,"Sản phẩm không có nguồn gốc rõ ràng, Tác dụng phụ; gây kích ứng; bong tróc da"
Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...,"Sau khi thức dậy, Trước khi đi ngủ",Siêu thị; trung tâm thương mại,Tự tìm hiểu,Cherry,Thảo mộc,Lavender,Mỹ,Website của hãng,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng","Truyền thông; quảng cáo, Tư vấn từ bác sĩ, Gia đình; người thân",,,,"Mỹ, Đức, Anh",Sàn thương mại điện tử,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Trước khi đi ngủ,"Các sàn thương mại điện tử, Website của hãng, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Gia đình; người thân, Bạn bè",,,,"Hàn Quốc, Pháp","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Siêu thị, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Sau khi về nhà,Nhà thuốc,Tự tìm hiểu,,,,Canada,Sàn thương mại điện tử,Nhà thuốc,Hàng giả; hàng nhái
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Sau khi về nhà, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Gia đình; người thân, Tự tìm hiểu, Bạn bè","Khác, Khác, Khác",Thảo mộc,"Trà xanh, Khác","Hàn Quốc, Pháp, Anh",Sàn thương mại điện tử,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Sản phẩm không có nguồn gốc rõ ràng, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Gia đình; người thân, Tự tìm hiểu",,,,Nhật Bản,Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,"Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Nhà thuốc","Truyền thông; quảng cáo, Tư vấn từ bác sĩ, Gia đình; người thân",,,,Pháp,Sàn thương mại điện tử,Siêu thị,Hàng giả; hàng nhái
